Artist,Title,Album
Dag Nasty,Can I Say,85-86
Dag Nasty,Circles,Can I Say
Dag Nasty,Values Here,Can I Say
Dag Nasty,Wig Out At Denko's,Wig Out At Denko's
Damned,Neat Neat Neat,Damned Damned Damned
Damned,New Rose,Damned Damned Damned
Damned,Noise Noise Noise,Machine Gun Etiquette
Damned,Smash It Up (pt. 2),Machine Gun Etiquette
Danzig,Blood And Tears,Danzig II: Lucifuge
Danzig,Killer Wolf,Danzig II: Lucifuge
Dashboard Confessional,The Brilliant Dance,The Places You Have Come To Fear The Most
"Dawson, Kimya",All I Could Do,Thunder Thighs
Dazey & The Scouts,Wet,Maggot
De La Soul,Stakes Is High,Stakes Is High
"De Souza, Indigo",Take Off Ur Pants,I Love My Mom
Dead Boys,Sonic Reducer,Young Loud and Snotty
Dead Kennedys,California Uber Alles,Give Me Convenience Or Give Me Death
Dead Kennedys,Holiday In Cambodia,Give Me Convenience Or Give Me Death
Dead Kennedys,I Fought The Law (by Bobby Fuller),Give Me Convenience Or Give Me Death
Dead Kennedys,Kill The Poor,Fresh Fruit For Rotting Vegetables
Dead Kennedys,Let's Lynch The Landlord,Fresh Fruit For Rotting Vegetables
Dead Kennedys,Nazi Punks Fuck Off,"In God We Trust, Inc."
Dead Kennedys,Too Drunk To Fuck,Give Me Convenience Or Give Me Death
Dead Kennedys,Well Paid Scientist,Plastic Surgery Disasters
Dead Milkmen,Dean's Dream,Big Lizard In My Backyard
Dead Milkmen,Punk Rock Girl,Beelzebubba
Dead Milkmen,Smokin' Banana Peels,Beelzebubba
Dead Moon,Dead Moon Night,Unknown Passage
Death,Freakin Out,For The Whole World To See
Death Angel,Bored,Frolic Through The Park
Death Cab For Cutie,The Sound Of Settling,Transatlanticism
Death Cab For Cutie,Title And Registration,Transatlanticism
Death From Above 1979,Black History Month,"You're A Woman, I'm A Machine"
Death From Above 1979,Romantic Rights,"You're A Woman, I'm A Machine"
Death From Above 1979,Sexy Results,"You're A Woman, I'm A Machine"
Decemberists,16 Military Wives,Picaresque
Decemberists,The Chimbley Sweep,Her Majesty
Decemberists,The Perfect Crime #2,The Crane Wife
Deerhunter,Revival,Halcyon Digest
Delta 5,Mind Your Own Business,Singles & Sessions 1979-81
"DeMarco, Mac",Salad Days,Salad Days
Desaparecidos,"Man And Wife, The Latter (Damaged Goods)",Read Music / Speak Spanish
Desaparecidos,Manana,Read Music / Speak Spanish
Desaparecidos,The Happiest Place On Earth,Read Music / Speak Spanish
Descendents,Bikeage,Somery
Descendents,Clean Sheets,Somery
Descendents,Coolidge,ALL
Descendents,Everything Sucks,Everything Sux
Descendents,Good Good Things,I Don't Wanna Grow Up
Descendents,Hope,Somery
Descendents,I'm The One,Everything Sucks
Descendents,Pep Talk,ALL
Descendents,Silly Girl,I Don't Want To Grow Up
Descendents,Sour Grapes,Somery
Descendents,Suburban Home,Somery
Destroy Boys,Crybaby,Make Room
Destroyer,The Very Modern Dance,Streethawk: A Seduction
Detroit Cobras,Bad Girl (by The Oblivians),Mink Rat Or Rabbit
Detroit Cobras,He Did It (by The Ronettes),"Life, Love and Leaving"
Detroit Cobras,Laughing At You (by The Gardenias),"Life, Love and Leaving"
