Artist,Title,Album,Themes,Tags
Coma In Algiers,Hey Mom,This Is Your Justice,,
Coma In Algiers,Leipzig,Happy Forever,scary,
Come,Shoot Me First,Near Life Experience,sad; scary,
Common Rider,Classics Of Love,Last Wave Rockers,,
Company Of Thieves,After Thought,Running From A Gamble,sad,
Constantines,Nighttime/Anytime (It's Alright),Shine A Light,,
Converge,Homewrecker,Jane Doe,sad; scary,
"Costello, Elvis",(The Angels Wanna Wear My) Red Shoes,My Aim Is True,,
"Costello, Elvis",Everyday I Write The Book,Punch The Clock,,
"Costello, Elvis",Less Than Zero,My Aim Is True,,
"Costello, Elvis",This Is Hell,Brutal Youth,sad,
"Costello, Elvis",Watching The Detectives,My Aim Is True,scary,
Cracker,Happy Birthday To Me,Cracker,,
Cramps,Goo Goo Muck,Psychedelic Jungle,,
Cramps,Human Fly,Gravest Hits,scary,
Cramps,I Was A Teenage Werewolf,Songs The Lord Taught Us,sad; scary,
Cramps,Strychnine (by The Sonics),Songs The Lord Taught Us,scary,
Cramps,TV Set,Songs The Lord Taught Us,scary,
Crass,Bata Motel,Penis Envy,,
Crass,Do They Owe Us A Living?,The Feeding Of The 5000,,
Crass,Systematic Death,Penis Envy,sad,
Crass,Where Next Columbus?,Penis Envy,,
Creation,Making Time,Action Painting,,
Crooked Fingers,New Drink For The Old Drunk,Crooked Fingers,sad,
Crooked Fingers,Sleep All Summer,Dignity And Shame,sad,
Crooked Fingers,Under Sad Stars,Crooked Fingers,sad,
Cub,New York City,"Come Out, Come Out",,
Cub,Your Bed,"Come Out, Come Out",,
Cure,Boys Don't Cry,Boys Don't Cry,sad; scary,
Cure,Close To Me,The Head On The Door,sad,
Cure,In Between Days,The Head On The Door,,
Cure,Jumping Someone Else's Train,Boys Don't Cry,scary,
Cure,Pictures Of You,Disintegration,sad,
Cure,The Hanging Garden,Pornography,sad,
Cursive,Art Is Hard,The Ugly Organ,sad,
Cursive,Some Red-Handed Sleight Of Hand,The Ugly Organ,scary,
Cursive,The Recluse,The Ugly Organ,sad,
"Dacus, Lucy",Hot & Heavy,Home Video,sad,
"Dacus, Lucy",I Don't Wanna Be Funny Anymore,No Burden,sad,
"Dacus, Lucy",Kissing Lessons,Kissing Lessons,,
"Dacus, Lucy",Night Shift,Historian,sad,
Dag Nasty,Can I Say,85-86,,
Dag Nasty,Circles,Can I Say,,
Dag Nasty,Values Here,Can I Say,,
Dag Nasty,Wig Out At Denko's,Wig Out At Denko's,,
Damned,Neat Neat Neat,Damned Damned Damned,,
Damned,New Rose,Damned Damned Damned,,
Damned,Noise Noise Noise,Machine Gun Etiquette,,
Damned,Smash It Up (pt. 2),Machine Gun Etiquette,,
Danzig,Blood And Tears,Danzig II: Lucifuge,sad,
Danzig,Killer Wolf,Danzig II: Lucifuge,,
Dashboard Confessional,The Brilliant Dance,The Places You Have Come To Fear The Most,sad,
"Dawson, Kimya",All I Could Do,Thunder Thighs,sad,
Dazey & The Scouts,Wet,Maggot,sad,
De La Soul,Stakes Is High,Stakes Is High,,
"De Souza, Indigo",Take Off Ur Pants,I Love My Mom,,
Dead Boys,Sonic Reducer,Young Loud and Snotty,scary,
Dead Kennedys,California Uber Alles,Give Me Convenience Or Give Me Death,scary,
Dead Kennedys,Holiday In Cambodia,Give Me Convenience Or Give Me Death,,
Dead Kennedys,I Fought The Law (by Bobby Fuller),Give Me Convenience Or Give Me Death,,
Dead Kennedys,Kill The Poor,Fresh Fruit For Rotting Vegetables,,
Dead Kennedys,Let's Lynch The Landlord,Fresh Fruit For Rotting Vegetables,,
Dead Kennedys,Nazi Punks Fuck Off,"In God We Trust, Inc.",,
Dead Kennedys,Too Drunk To Fuck,Give Me Convenience Or Give Me Death,,
Dead Kennedys,Well Paid Scientist,Plastic Surgery Disasters,,
Dead Milkmen,Dean's Dream,Big Lizard In My Backyard,,
Dead Milkmen,Punk Rock Girl,Beelzebubba,,
Dead Milkmen,Smokin' Banana Peels,Beelzebubba,,
